,name,pub_year,author_1st,author_2nd,magazine,key_words
221,Effect of web reinforcement on the seismic response of concrete squat walls reinforced with glass-FRP bars,1 November 2018,Ahmed,Ahmed Sabry,Engineering Structures,"['Concrete', 'Squat walls', 'Shear strength', 'Web reinforcement', 'Glass-fiber-reinforced polymer (GFRP)', 'GFRP bar', 'Seismic']"
222,Seismic performance of large rupture strain FRP retrofitted RC columns with corroded steel reinforcement,1 August 2020,Yingwu,Xuan,Engineering Structures,"['Corrosion', 'RC column', 'LRS-FRP', 'Axial load ratio', 'Seismic behavior']"
223,Experimental tests of precast reinforced concrete beam-column connections,October 2019,Hector,Vladimir,Soil Dynamics and Earthquake Engineering,"['Precast system', 'Reinforced concrete precast elements', 'Beam-column connections', 'Stiffness degradation']"
224,Seismic performance modeling of concrete-filled steel tube bridges: Tools and case study,15 June 2018,Max T.,Dawn E.,Engineering Structures,"['Bridges', 'Concrete filled steel tubes', 'Performance evaluation', 'Seismic hazard analysis', 'Incremental dynamic analysis']"
225,Seismic performance of lightly shear reinforced RC columns,1 November 2016,Kyoung-Kyu,Gia Toai,Engineering Structures,"['Light shear reinforcement', 'Reinforced concrete columns', 'Seismic performance', 'Drift capacity', 'Nonlinear modeling parameters', 'Failure probability']"
226,Structural behaviour of pre-damaged reinforced concrete beams strengthened with natural fibre reinforced polymer composites,15 July 2020,Tidarut,Suched,Composite Structures,"['Reinforced concrete beam', 'Shear capacity', 'Strengthening', 'Fibre reinforced polymer', 'Natural fibre', 'Jute']"
227,The nonlinear analysis of an innovative slit reinforced concrete water tower in seismic regions,1 March 2017,F.,Y.G.,Engineering Structures,"['RC water tower', 'Nonlinear structural analysis', 'SAP2000', 'Finite element analysis', 'Seismic', 'Earthquake', 'Pushover', 'Capacity spectrum']"
228,Effect of axial force-bending moment interaction on stochastic nonzero mean seismic response of reinforced concrete frames,1 November 2018,Felice,NONE,Engineering Structures,"['Axial force-bending moment interaction', 'Bouc-Wen model', 'Stochastic equivalent linearization', 'Reinforced concrete frame', 'Nonzero mean response', 'Seismic ductility demand']"
229,Effect of seismic degradation on the fragility of reinforced concrete bridges,15 November 2014,R.,P.,Engineering Structures,"['Multiple seismic events', 'Seismic degradation', 'Seismic fragility', 'Reinforce concrete bridges']"
230,Shaking table tests of a half-scale 2-storey URM building retrofitted with a high ductility fibre reinforced concrete overlay system,15 October 2019,Mingke,Zhifang,Engineering Structures,"['Shaking table tests', 'Unreinforced masonry', 'Retrofit', 'High ductility fibre reinforced concrete', 'Dynamic response', 'Seismic evaluation']"
231,Flange effects on seismic performance of reinforced concrete squat walls with irregular or regular openings,1 March 2016,Bing,Kai,Engineering Structures,"['Reinforced concrete', 'Walls', 'Openings', 'Shear']"
232,Seismic behaviour of innovative ring-bar reinforced connections composed of T-shaped CFST columns and RC beams with slabs,June 2018,Zhong,Shao-Bin,Thin-Walled Structures,"['T-shaped concrete-filled steel tubular (CFST)', 'Ring-bar', 'Connections', 'Reinforced concrete (RC) beam with slab', 'Seismic behaviour']"
233,Development of seismic vulnerability index methodology for reinforced concrete buildings based on nonlinear parametric analyses,2019,Moustafa Moffed,Fadzli,MethodsX,"['Seismic Vulnerability Index using NL analytical approach', 'Seismic vulnerability index', 'Vulnerability curve', 'Parametric modeling', 'Damage grade/state', 'Nonlinear analysis', 'Engineering demand parameter']"
234,Evaluation of post-earthquake fire capacity of reinforced concrete elements,January 2020,Hugo,Hugo,Soil Dynamics and Earthquake Engineering,"['Fire after earthquake', 'Fire safety assessment', 'Fire resistance', 'Reinforced concrete structure', 'Earthquake damage', 'Seismic assessment']"
235,Fire behaviour of thin-walled steel tube confined reinforced concrete stub columns under axial compression,September 2020,Ruizhi,Jiepeng,Journal of Constructional Steel Research,"['Thin-walled steel tube confined concrete columns', 'Fire tests', 'Finite element modelling', 'Parametric studies', 'Fire resistance', 'Design approach']"
236,Seismic fragility analysis of elevated steel storage tanks supported by reinforced concrete columns,May 2017,H. Nam,Fabrizio,Journal of Loss Prevention in the Process Industries,"['Elevated steel tank', 'Reinforced concrete column', 'Shear behavior', 'Fragility curve', 'Nonlinear analysis', 'Intensity measure']"
237,Seismic performance and shear strength of coupling beams using engineered cementitious composites with different reinforcement layouts,15 September 2020,Zi-Yu,Ran,Engineering Structures,"['Precast coupling beam', 'Engineered cementitious composites', 'Seismic performance', 'Axial force', 'Shear strength']"
238,Cyclic behavior of steel tube-reinforced high-strength concrete composite columns with high-strength steel bars,15 June 2019,Jianwei,Xiangyu,Engineering Structures,"['High-strength concrete', 'High-strength steel bars', 'Steel fiber reinforced concrete', 'Steel tube-reinforced concrete (STRC) composite columns', 'Seismic behavior', 'Cyclic loading test']"
239,Experimental and numerical investigations on seismic behavior of hybrid braced precast concrete shear walls,1 November 2019,Hong-Nan,Ya-Chao,Engineering Structures,"['Precast concrete wall', 'Bracing', 'Shear span ratio', 'Seismic behavior', 'Pseudo-static test', 'Finite element analysis']"
240,Seismic behavior of composite shear walls incorporating concrete-filled steel and FRP tubes as boundary elements,1 August 2018,Fengming,Jinwen,Engineering Structures,"['Composite shear wall', 'Seismic behavior', 'Ductility', 'FRP-confined concrete cores', 'Concrete-filled steel tube (CFST)', 'CFRP tube']"
241,Enhancement of seismic performance of beam-column joint connections using high performance fiber reinforced cementitious composites,20 August 2018,Mohammad hossein,Hashem,Construction and Building Materials,"['High performance fiber reinforced cement composites', 'Synthetic fiber', 'Mechanical properties', 'Strain hardening', 'Beam-column joint connection', 'Hysteresis behavior']"
242,Seismic behavior of glass fiber-reinforced polymer wall panels,1 November 2018,Hao,An,Composite Structures,"['Fiber-reinforced polymer (FRP)', 'Wall panel', 'Seismic behavior', 'Shaking table test', 'Finite element modeling', 'Reinforced concrete wall']"
243,Seismic accelerations in architectural precast concrete cladding,1 February 2019,Elide,Tara,Engineering Structures,"['APC', 'architectural precast concrete', 'BNCS', 'Building Nonstructural Components and Systems', 'UCSD', 'University of California, San Diego', 'FB', 'fixed base', 'PIDR', 'peak interstory drift ratio', 'PFA', 'peak floor acceleration', 'SDOF', 'single degree of freedom', 'PEER', 'pacific earthquake engineering research center', 'Precast concrete cladding', 'Cladding connections', 'Architectural concrete', 'Seismic accelerations', 'Seismic forces', 'Component amplification factor', 'Structure amplification factor']"
244,Seismic retrofit of a reinforced concrete flat-slab structure: Part I — seismic performance evaluation,June 2007,Mary Beth D.,Jong-Wha,Engineering Structures,"['Concrete', 'Reinforced', 'Concrete slabs', 'Retrofitting', 'Seismic response', 'Nonlinear analysis', 'Performance evaluation']"
245,Seismic performance of a new type precast concrete sandwich wall based on experimental and numerical investigation,July 2019,Gang,Aiqun,Soil Dynamics and Earthquake Engineering,"['Precast sandwich wall', 'Quasi-static test', 'Resilience ability', 'Frictional energy dissipation', 'Numerical simulation']"
246,Evaluation of design modifications for enhanced repairability of reinforced concrete walls,1 March 2020,Stephen W.,Keri L.,Engineering Structures,"['Reinforced concrete wall', 'Lightly-reinforced wall', 'Debonded reinforcement', 'Fiber-reinforced concrete', 'Engineered cementitious composite', 'Repairability']"
247,Nonlinear seismic modeling of reinforced concrete cores including torsion,1 April 2017,Kevin,Pierre,Engineering Structures,"['Torsion', 'Inelastic warping', 'Reinforced concrete', 'Shear walls', 'Cores', 'Fiber elements', 'Nonlinear seismic behavior', 'Wide-column analogy', 'Numerical model']"
248,Seismic Behavior of Under Confined Square Reinforced Concrete Columns,February 2018,Aditya Singh,Umesh Kumar,Structures,[]
249,Seismic performance of reinforced concrete columns after freeze–thaw cycles,15 January 2016,Shanhua,Anbang,Construction and Building Materials,"['Freeze–thaw cycles', 'Reinforced concrete', 'Column', 'Cyclic loading', 'Seismic performance', 'Hysteretic curve', 'Experiment']"
